slug	name	priorityRank	graph_version	v23	zones_geo	lots_geo	signaux	citations_pct	focus30
val-saint-gilles	Val-Saint-Gilles	1017	2.3	1	0	nd	0	0	0
lac-au-saumon	Lac-au-Saumon	1018	2.3	1	0	nd	7	100	0
amqui	Amqui	1019	none	0	0	4191	nd	nd	0
sainte-florence	Sainte-Florence	1020	2.3	1	0	nd	0	0	0
clerval	Clerval	1021	2.3	1	0	673	3	100	0
saint-ulric	Saint-Ulric	1022	2.3	1	0	nd	0	0	0
matapedia	Matapédia	1023	none	0	nd	nd	nd	nd	0
dupuy	Dupuy	1024	2.3	1	0	936	4	100	0
saint-leandre	Saint-Léandre	1025	2.3	1	0	nd	0	0	0
saint-andre-de-restigouche	Saint-André-de-Restigouche	1026	2.3	1	nd	nd	0	0	0
sainte-paule	Sainte-Paule	1027	2.3	1	nd	nd	2	100	0
causapscal	Causapscal	1028	2.3	1	0	nd	11	73	0
baie-comeau	Baie-Comeau	1029	2.3	1	0	2443	5	40	0
saint-vianney	Saint-Vianney	1030	2.3	1	0	nd	0	0	0
saint-alexandre-des-lacs	Saint-Alexandre-des-Lacs	1031	2.3	1	0	nd	0	0	0
saint-tharcisius	Saint-Tharcisius	1032	2.3	1	0	nd	0	0	0
la-reine	La Reine	1033	none	0	0	1085	nd	nd	0
normetal	Normétal	1034	2.3	1	0	nd	5	100	0
sainte-marguerite-marie	Sainte-Marguerite-Marie	1035	2.3	1	0	nd	0	0	0
ristigouche-sud-est	Ristigouche-Sud-Est	1036	none	0	nd	nd	nd	nd	0
saint-lambert-abitibi-ouest	Saint-Lambert	1037	2.3	1	0	0	0	0	0
matane	Matane	1038	2.3	1	0	nd	8	50	0
saint-rene-de-matane	Saint-René-de-Matane	1039	2.3	1	0	nd	1	100	0
pointe-a-la-croix	Pointe-à-la-Croix	1040	none	0	nd	nd	nd	nd	0
saint-adelme	Saint-Adelme	1041	2.3	1	0	nd	0	0	0
sainte-felicite-la-matanie	Sainte-Félicité	1042	2.3	1	0	0	0	0	0
franquelin	Franquelin	1043	none	0	0	43	nd	nd	0
escuminac	Escuminac	1044	none	0	0	nd	nd	nd	0
saint-jean-de-cherbourg	Saint-Jean-de-Cherbourg	1045	2.3	1	0	nd	1	100	0
grosses-roches	Grosses-Roches	1046	2.3	1	0	790	4	75	0
nouvelle	Nouvelle	1047	2.3	1	nd	nd	6	100	0
godbout	Godbout	1048	2.3	1	0	377	4	50	0
les-mechins	Les Méchins	1049	none	0	0	190	nd	nd	0
carleton-sur-mer	Carleton-sur-Mer	1050	2.3	1	nd	nd	9	100	0
baie-trinite	Baie-Trinité	1051	2.3	1	0	411	2	100	0
maria	Maria	1052	none	0	nd	nd	nd	nd	0
cap-chat	Cap-Chat	1053	2.3	1	0	1982	8	100	0
cascapedia-saint-jules	Cascapedia-Saint-Jules	1054	none	0	0	1131	nd	nd	0
new-richmond	New Richmond	1055	none	0	0	nd	nd	nd	0
caplan	Caplan	1056	2.3	1	0	1753	2	100	0
